Class,Filename,CrossComp-ID,Composer,Performer,Album,Artist_filter_no,Instrumentation
01_bach,CrossComp-0001_01_bach_ouverture_no._1_in_c_major_bwv_1066__boure_iii.mp3,CrossComp-0001,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0002_01_bach_ouverture_no._1_in_c_major_bwv_1066__courante.mp3,CrossComp-0002,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0003_01_bach_ouverture_no._1_in_c_major_bwv_1066__forlane.mp3,CrossComp-0003,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0004_01_bach_ouverture_no._1_in_c_major_bwv_1066__gavotte_iii.mp3,CrossComp-0004,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0005_01_bach_ouverture_no._1_in_c_major_bwv_1066__menuet_iii.mp3,CrossComp-0005,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0006_01_bach_ouverture_no._1_in_c_major_bwv_1066__ouverture.mp3,CrossComp-0006,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0007_01_bach_ouverture_no._1_in_c_major_bwv_1066__passepied_iii.mp3,CrossComp-0007,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0008_01_bach_ouverture_no._2_in_b_minor_bwv_1067__badinerie.mp3,CrossComp-0008,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0009_01_bach_ouverture_no._2_in_b_minor_bwv_1067__boure_iii.mp3,CrossComp-0009,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0010_01_bach_ouverture_no._2_in_b_minor_bwv_1067__menuet.mp3,CrossComp-0010,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
01_bach,CrossComp-0011_01_bach_ouverture_no._2_in_b_minor_bwv_1067__ouverture.mp3,CrossComp-0011,Bach; Johann Sebastian,Cologne Chamber Orchestra; Muller-Bruhl,BACH; J.S.: Orchestral Suites Nos. 1-4; BWV 1066-1069,1,orchestra
